Source,Folio,Locus,Raw_Text,Clean_Text
ZL3b-n,f78r,"f78r.13,+P0","qokedy.ol,kedy.qokain.okedy.kedy.tol,dy.qot[ee:ch]dy,dy",qokedy ol kedy qokain okedy kedy tol dy qoteedy dy
ZL3b-n,f78r,"f78r.14,+P0",sor.checkhy.or.chckhdy.dol.kedy.qokededy.qokan.ol,sor checkhy or chckhdy dol kedy qokededy qokan ol
ZL3b-n,f78r,"f78r.15,+P0","dchckhedy.qokchdy.qokedy.okedy.dal,or.okeed.olkain",dchckhedy qokchdy qokedy okedy dal or okeed olkain
ZL3b-n,f78r,"f78r.16,+P0",qokol.oted.okain.ched.ar.alory,qokol oted okain ched ar alory
ZL3b-n,f78r,"f78r.17,+P0",soiin.kar.kedy.pche'y.tchdoltdy,soiin kar kedy pchey tchdoltdy
ZL3b-n,f78r,"f78r.18,+P0","o,l,chedy.qokain.dar.ar.okain",o l chedy qokain dar ar okain
ZL3b-n,f78r,"f78r.19,+P0",y.che[s:?].aiin.okeedy.qokain.chl,y ches aiin okeedy qokain chl
ZL3b-n,f78r,"f78r.20,+P0","sol,shedy.dalshdy.qokychdy",sol shedy dalshdy qokychdy
ZL3b-n,f78r,"f78r.21,+P0",lchedy.qokain.cheeky.lokedy,lchedy qokain cheeky lokedy
ZL3b-n,f78r,"f78r.22,+P0",yched.qokain.daiin.chckhdy.lr,yched qokain daiin chckhdy lr
ZL3b-n,f78r,"f78r.23,+P0",sain.sheor.olkchdy.roiin.okeedy,sain sheor olkchdy roiin okeedy
ZL3b-n,f78r,"f78r.24,+P0",qokeedy.kedy.qokeey.qokedy.olol,qokeedy kedy qokeey qokedy olol
ZL3b-n,f78r,"f78r.25,+P0",sokeedy.keol.lorain.olkeey.raiin,sokeedy keol lorain olkeey raiin
ZL3b-n,f78r,"f78r.26,+P0","sol,shey.kary.or,shedy.qeedar.ain,anl",sol shey kary or shedy qeedar ain anl
ZL3b-n,f78r,"f78r.27,+P0","daiin.chckhal.daiil,aldy<$>",daiin chckhal daiil aldy
ZL3b-n,f78r,"f78r.28,+P0","<%>@176;orain.ol.qokeedy.kchol.tchal,olkee.yfchey.ofchedy.taly",orain ol qokeedy kchol tchal olkee yfchey ofchedy taly
ZL3b-n,f78r,"f78r.29,+P0","ssheky.ol,kedy.chckhy.dain.oty.qokor.oky.dain.chy.<!corr?>ol",ssheky ol kedy chckhy dain oty qokor oky dain chy ol
ZL3b-n,f78r,"f78r.30,+P0",qokeedy.qokey.daiin.olkain.dal.chedy.ololdal.chcht[y:?].tedy,qokeedy qokey daiin olkain dal chedy ololdal chchty tedy
ZL3b-n,f78r,"f78r.31,+P0","solkeedy.sheckhy.qokedy.otal,shedy.otar.olchedy.cthdy",solkeedy sheckhy qokedy otal shedy otar olchedy cthdy
ZL3b-n,f78r,"f78r.32,+P0",qokedy.ckhdy.qokain.chedy.dalky.lkain.ykeedy.okaly.dy,qokedy ckhdy qokain chedy dalky lkain ykeedy okaly dy
ZL3b-n,f78r,"f78r.33,+P0","ytedy.daiin.ykedy.y,olsheey.qokeey.okal.ol,keedy.dyky",ytedy daiin ykedy y olsheey qokeey okal ol keedy dyky
ZL3b-n,f78r,"f78r.34,+P0","dshedy.qokeedy.qopchedy.qokaly.dar.okaiin.o,keeal.am",dshedy qokeedy qopchedy qokaly dar okaiin o keeal am
ZL3b-n,f78r,"f78r.35,+P0","y.sain.checkhy.qokain.cheeky.daiin.daiin.y,tees.ol,y",y sain checkhy qokain cheeky daiin daiin y tees ol y
ZL3b-n,f78r,"f78r.36,+P0",qotchedy.lchedy.lchedykedy.qol<->saiin.ckhain.or,qotchedy lchedy lchedykedy qolsaiin ckhain or
ZL3b-n,f78r,"f78r.37,+P0",osal.ol.s.aiin.shee'.aiin.oly,osal ol s aiin shee aiin oly
ZL3b-n,f78r,"f78r.38,+P0","sar,aiin.oteedy.ol.aiin.chedy",sar aiin oteedy ol aiin chedy
ZL3b-n,f78r,"f78r.39,+P0","qotaiin.qokaiin.o[t:k]edy.l,keedy",qotaiin qokaiin otedy l keedy
ZL3b-n,f78r,"f78r.40,+P0","shedy.qol.shedy.qokaiin.d,@206;ol",shedy qol shedy qokaiin d ol
ZL3b-n,f78r,"f78r.41,+P0",ykain.chdar.chedy.qokain.dy,ykain chdar chedy qokain dy
ZL3b-n,f78r,"f78r.42,+P0",dain.chfaiin.opaly.kotaly,dain chfaiin opaly kotaly
ZL3b-n,f78r,"f78r.43,+P0",lchedy.pchedy.qokaiin.d[a:o]r<$>,lchedy pchedy qokaiin dar
ZL3b-n,f78r,"f78r.44,@Lt","<!18>dar,alo{ifh}y",dar aloifhy
ZL3b-n,f78r,"f78r.45,@Lt",<!19>dchedaly,dchedaly
ZL3b-n,f78r,"f78r.46,@Lt",<!20>otarodla'y<-><!21>orory,otarodlayorory
ZL3b-n,f78r,"f78r.47,@Lt",<!22>okaral,okaral
ZL3b-n,f78v,"f78v.1,@P0",<%>@177;ykedy.olfchedy.qokedy.spchy.chedy.rol.dor.ofchedy.qokedy,ykedy olfchedy qokedy spchy chedy rol dor ofchedy qokedy
ZL3b-n,f78v,"f78v.2,+P0","olshedy.qokedy.rshedy.cthdy.otedy.kedy.dal,dal.dol.oty.dal",olshedy qokedy rshedy cthdy otedy kedy dal dal dol oty dal
ZL3b-n,f78v,"f78v.3,+P0","qokedy.chety.qolshedy.okedy.dol,eesolchey.qotedy.ol,dam",qokedy chety qolshedy okedy dol eesolchey qotedy ol dam
ZL3b-n,f78v,"f78v.4,+P0","ol,chy.lshdy.lcheckhy.ol.keedy.lcheckhey.l,olkedykain,ol",ol chy lshdy lcheckhy ol keedy lcheckhey l olkedykain ol
ZL3b-n,f78v,"f78v.5,+P0",qor.olkeey.olkain.ol.chsey.ol.cheeky.dar.okal.dal.olchedy,qor olkeey olkain ol chsey ol cheeky dar okal dal olchedy
ZL3b-n,f78v,"f78v.6,+P0","ety.okeey.or.{ch'}eey.ykeey.lchey.qokain.okedy.qokedy,qol",ety okeey or eey ykeey lchey qokain okedy qokedy qol
ZL3b-n,f78v,"f78v.7,+P0","otor.y,shedy.otedy.shedy.qokeedy.qokedy.otar.otedy",otor y shedy otedy shedy qokeedy qokedy otar otedy
ZL3b-n,f78v,"f78v.8,+P0",qokedy.otedy.qokain.oteedy.qokeedy.dar.okedy.dkedy.dain,qokedy otedy qokain oteedy qokeedy dar okedy dkedy dain
ZL3b-n,f78v,"f78v.9,+P0","y,cheolk,o,lkeedy.qokedy.ol,chedol.okeedy.qotedy.rorarol",y cheolk o lkeedy qokedy ol chedol okeedy qotedy rorarol
ZL3b-n,f78v,"f78v.10,+P0","dshedy.qokedy.or,shedy.pchedy.qoke[@166;:ee]dy.okedy.opchedy",dshedy qokedy or shedy pchedy qokedy okedy opchedy
ZL3b-n,f78v,"f78v.11,+P0",qol.chedy.qol.okeey.ykal.ol.chdy.qokain.chcthy.daiin,qol chedy qol okeey ykal ol chdy qokain chcthy daiin
ZL3b-n,f78v,"f78v.12,+P0","sheor.ol.qokaiin.shckhy.otaly.qolsheey.qokal,sain",sheor ol qokaiin shckhy otaly qolsheey qokal sain
ZL3b-n,f78v,"f78v.13,+P0",dchokol.chedy.qokedy.qokey.qol.chedy.qokeedy.lchey,dchokol chedy qokedy qokey qol chedy qokeedy lchey
ZL3b-n,f78v,"f78v.14,+P0","qolkeshdy.qol.shedy.olkedy.okol,chedy.qokain.dal",qolkeshdy qol shedy olkedy okol chedy qokain dal
ZL3b-n,f78v,"f78v.15,+P0",cheey.qolchedy.qokey.or.cheef.chckhey.tedy.qokedy.ls,cheey qolchedy qokey or cheef chckhey tedy qokedy ls
ZL3b-n,f78v,"f78v.16,+P0","lshey.r,shedy.d,qokedy.okey.lchedy.qokdy.daiin.oly",lshey r shedy d qokedy okey lchedy qokdy daiin oly
ZL3b-n,f78v,"f78v.17,+P0",qol.sheedy.qol.lcheol.lchdy.dchdy.da.qar.olkal.dy,qol sheedy qol lcheol lchdy dchdy da qar olkal dy
ZL3b-n,f78v,"f78v.18,+P0","chedy.shckhy.qokedy.dal.lshckhy.qol,qol.oteedy.qor",chedy shckhy qokedy dal lshckhy qol qol oteedy qor
ZL3b-n,f78v,"f78v.19,+P0",lchedy.ol.chedar.shedy.lor.shedaldy.orain<$>,lchedy ol chedar shedy lor shedaldy orain
ZL3b-n,f78v,"f78v.20,+P0","<%>qofcheol.opchedy.qokain.op,chedy,lchey.cphar.ol.okalor",qofcheol opchedy qokain op chedy lchey cphar ol okalor
ZL3b-n,f78v,"f78v.21,+P0",chedy.lshedy.olshedy.otaiin.ol.qokar.shedy.yteedy,chedy lshedy olshedy otaiin ol qokar shedy yteedy
ZL3b-n,f78v,"f78v.22,+P0","[o:y]kol.shey.ol.shedy.okal.okchey.okeol.ol,chedy.qol",okol shey ol shedy okal okchey okeol ol chedy qol
