Source,Folio,Locus,Raw_Text,Clean_Text
RF1b-er,f1r,"f1r.1,@P0",fachys.ykal.ar.ataiin.shol.shory.ctoses.y.kor.sholdy,fachys ykal ar ataiin shol shory ctoses y kor sholdy
RF1b-er,f1r,"f1r.2,+P0",sory.ckhar.ory.kair.chtaiin.shar.ais.cthar.cthar.dan,sory ckhar ory kair chtaiin shar ais cthar cthar dan
RF1b-er,f1r,"f1r.3,+P0",syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sy,syaiir sheky or ykaiin shod cthoary cthes daraiin sy
RF1b-er,f1r,"f1r.4,+P0",soiin.oteey.oteor.roloty.ctaar.daiin.okaiin.or.okan,soiin oteey oteor roloty ctaar daiin okaiin or okan
RF1b-er,f1r,"f1r.5,+P0",sairy.chear.cthaiin.cphar.cfhaiin,sairy chear cthaiin cphar cfhaiin
RF1b-er,f1r,"f1r.6,=Pt",ydaraishy,ydaraishy
RF1b-er,f1r,"f1r.7,*P0","odar.sy.shol.cphoy.oydar.sh,s.cfhoaiin.shodary",odar sy shol cphoy oydar sh s cfhoaiin shodary
RF1b-er,f1r,"f1r.8,+P0",yshey.shody.okchoy.otchol.chocthy.oschy.dain.chor.kos,yshey shody okchoy otchol chocthy oschy dain chor kos
RF1b-er,f1r,"f1r.9,+P0",daiin.shos.cfhol.shody,daiin shos cfhol shody
RF1b-er,f1r,"f1r.10,=Pt",dain.or.teody,dain or teody
RF1b-er,f1r,"f1r.11,*P0",ydain.cphesaiin.ols.cphey.ytain.shoshy.cphodal.es,ydain cphesaiin ols cphey ytain shoshy cphodal es
RF1b-er,f1r,"f1r.12,+P0",oksho.kshoy.otairin.oteol.okan.shodain.sckchy.daiin,oksho kshoy otairin oteol okan shodain sckchy daiin
RF1b-er,f1r,"f1r.13,+P0",shoy.ckhey.kodaiin.cphy.cphodaiils.cthhy.sho.oldain.d,shoy ckhey kodaiin cphy cphodaiils cthhy sho oldain d
RF1b-er,f1r,"f1r.14,+P0",dain.oiin.chol.odaiin.chodain.chdy.okain.dan.cthy.kod,dain oiin chol odaiin chodain chdy okain dan cthy kod
RF1b-er,f1r,"f1r.15,+P0","daiin.shckhey.ckho,r.char.shey.kol.chol.chol.kor.chal",daiin shckhey ckho r char shey kol chol chol kor chal
RF1b-er,f1r,"f1r.16,+P0","sho.chol.shodan.kshy.kchy.d,or.chodaiin.sho.keeam",sho chol shodan kshy kchy d or chodaiin sho keeam
RF1b-er,f1r,"f1r.17,+P0",ycho.tchey.chekain.sheopshol.dydyd.cthy.daictoy,ycho tchey chekain sheopshol dydyd cthy daictoy
RF1b-er,f1r,"f1r.18,+P0",yto.shol.she.kodshey.cphealy.dar.ain.dain.ckhyds,yto shol she kodshey cphealy dar ain dain ckhyds
RF1b-er,f1r,"f1r.19,+P0",dchar.shcthaiin.okaiir.chey.rchy.potol.cthols.dlocto,dchar shcthaiin okaiir chey rchy potol cthols dlocto
RF1b-er,f1r,"f1r.20,+P0",shok.chor.chey.dain.ckhey,shok chor chey dain ckhey
RF1b-er,f1r,"f1r.21,=Pt",otol.daiiin,otol daiiin
RF1b-er,f1r,"f1r.22,*P0",cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.ro.dar,cpho shaiin shokcheey chol tshodeesy shey pydeey chy ro dar
RF1b-er,f1r,"f1r.23,+P0",ydain.chol.dain.cthal.dar.shear.kaiin.dar.shey.cthar,ydain chol dain cthal dar shear kaiin dar shey cthar
